timestamp,open,high,low,close,,Open - low,% tage,status > 1,Status <2,High - open,% tage,status,Open - Close,% tage,,High - low,% tage,status
2017-08-17T00:00:00.000000Z,4261.48,4485.39,4200.74,4285.08,,60.74,1.425326412,TRUE,TRUE,223.91,5.254277857,TRUE,-23.6,-0.553798211,,284.65,6.776187053,TRUE
2017-08-18T00:00:00.000000Z,4285.08,4371.52,3938.77,4108.37,,346.31,8.081762768,TRUE,FALSE,86.44,2.017231884,TRUE,176.71,4.123843662,,432.75,10.98693247,TRUE
2017-08-19T00:00:00.000000Z,4108.37,4184.69,3850,4139.98,,258.37,6.288868821,TRUE,FALSE,76.32,1.857671047,TRUE,-31.61,-0.769404898,,334.69,8.693246753,TRUE
2017-08-20T00:00:00.000000Z,4120.98,4211.08,4032.62,4086.29,,88.36,2.144150178,TRUE,FALSE,90.1,2.186373144,TRUE,34.69,0.84179006,,178.46,4.425410775,TRUE
2017-08-21T00:00:00.000000Z,4069.13,4119.62,3911.79,4016,,157.34,3.866674203,TRUE,FALSE,50.49,1.240805774,TRUE,53.13,1.305684507,,207.83,5.312913014,TRUE
2017-08-22T00:00:00.000000Z,4016,4104.82,3400,4040,,616,15.33864542,TRUE,FALSE,88.82,2.211653386,TRUE,-24,-0.597609562,,704.82,20.73,TRUE
2017-08-23T00:00:00.000000Z,4040,4265.8,4013.89,4114.01,,26.11,0.646287129,FALSE,TRUE,225.8,5.589108911,TRUE,-74.01,-1.831930693,,251.91,6.27595674,TRUE
2017-08-24T00:00:00.000000Z,4147,4371.68,4085.01,4316.01,,61.99,1.494815529,TRUE,TRUE,224.68,5.417892452,TRUE,-169.01,-4.075476248,,286.67,7.01760828,TRUE
2017-08-25T00:00:00.000000Z,4316.01,4453.91,4247.48,4280.68,,68.53,1.587809111,TRUE,TRUE,137.9,3.195080642,TRUE,35.33,0.818580124,,206.43,4.860058199,TRUE
2017-08-26T00:00:00.000000Z,4280.71,4367,4212.41,4337.44,,68.3,1.595529714,TRUE,TRUE,86.29,2.015787101,TRUE,-56.73,-1.325247447,,154.59,3.669870692,TRUE
2017-08-27T00:00:00.000000Z,4332.51,4400,4285.54,4310.01,,46.97,1.084129061,TRUE,TRUE,67.49,1.557757512,TRUE,22.5,0.519329442,,114.46,2.670841948,TRUE
2017-08-28T00:00:00.000000Z,4310.01,4399.82,4124.54,4386.69,,185.47,4.303238276,TRUE,FALSE,89.81,2.083753866,TRUE,-76.68,-1.779114202,,275.28,6.67419882,TRUE
2017-08-29T00:00:00.000000Z,4353.65,4625.85,4313.55,4587.48,,40.1,0.921066232,FALSE,TRUE,272.2,6.252225144,TRUE,-233.83,-5.370895685,,312.3,7.239976354,TRUE
2017-08-30T00:00:00.000000Z,4564.52,4647.51,4416.01,4555.14,,148.51,3.253573213,TRUE,FALSE,82.99,1.818153935,TRUE,9.38,0.205498059,,231.5,5.242288854,TRUE
2017-08-31T00:00:00.000000Z,4555.14,4745.42,4555.14,4724.89,,0,0,FALSE,TRUE,190.28,4.177259096,TRUE,-169.75,-3.726559447,,190.28,4.177259096,TRUE
2017-09-01T00:00:00.000000Z,4689.89,4885.55,4654.88,4834.91,,35.01,0.746499385,FALSE,TRUE,195.66,4.17195286,TRUE,-145.02,-3.092183399,,230.67,4.955444609,TRUE
2017-09-02T00:00:00.000000Z,4796.16,4939.19,4286.87,4472.14,,509.29,10.6187033,TRUE,FALSE,143.03,2.982177409,TRUE,324.02,6.755821324,,652.32,15.21669656,TRUE
2017-09-03T00:00:00.000000Z,4508.5,4714.76,4298.33,4509.08,,210.17,4.661639126,TRUE,FALSE,206.26,4.574914051,TRUE,-0.58,-0.012864589,,416.43,9.688181224,TRUE
